ciudad,fecha,ta_max,ta_min,tm_mes,(,tm_mes,ta_min,ta_max
Barcelona,2005-13,37.0(14/jul),-12.0(01/mar),11.0,,11.0,-12.0,37.0
Barcelona,2006-1,11.0(31),-8.0(29),2.2,,2.2,-8.0,11.0
Barcelona,2006-2,14.9(13),-7.4(09),2.9,,2.9,-7.4,14.9
Barcelona,2006-3,20.7(14),-5.4(01),7.9,,7.9,-5.4,20.7
Barcelona,2006-4,23.2(04),-3.4(12),10.3,,10.3,-3.4,23.2
Barcelona,2006-5,29.7(27),-0.6(01),14.8,,14.8,-0.6,29.7
Barcelona,2006-6,33.2(23),2.4(01),19.0,,19.0,2.4,33.2
Barcelona,2006-7,36.5(10),10.4(07),23.1,,23.1,10.4,36.5
Barcelona,2006-8,33.0(31),5.4(13),18.5,,18.5,5.4,33.0
Barcelona,2006-9,35.9(05),4.7(16),18.0,,18.0,4.7,35.9
Barcelona,2006-10,26.5(29),3.7(05),14.0,,14.0,3.7,26.5
Barcelona,2006-11,19.0(10),-2.6(30),9.2,,9.2,-2.6,19.0
Barcelona,2006-12,14.0(04),-7.5(24),3.6,,3.6,-7.5,14.0
Barcelona,2006-13,36.5(10/jul),-8.0(29/ene),12.0,,12.0,-8.0,36.5
Barcelona,2007-1,16.2(12),-6.6(26),3.4,,3.4,-6.6,16.2
Barcelona,2007-2,16.3(15),-3.0(26),6.3,,6.3,-3.0,16.3
Barcelona,2007-3,19.0(04),-5.5(22),5.6,,5.6,-5.5,19.0
Barcelona,2007-4,25.7(24),-3.7(01),10.5,,10.5,-3.7,25.7
Barcelona,2007-5,25.8(18),0.9(01),12.7,,12.7,0.9,25.8
Barcelona,2007-6,29.5(30),3.8(01),16.1,,16.1,3.8,29.5
Barcelona,2007-7,36.5(31),5.4(10),19.1,,19.1,5.4,36.5
Barcelona,2007-8,36.8(04),6.0(09),18.2,,18.2,6.0,36.8
Barcelona,2007-9,28.0(09),-1.0(28),15.8,,15.8,-1.0,28.0
Barcelona,2007-10,22.5(02),-1.9(28),11.2,,11.2,-1.9,22.5
Barcelona,2007-11,18.8(11),-9.9(17),5.4,,5.4,-9.9,18.8
Barcelona,2007-12,10.6(09),-9.2(17),2.6,,2.6,-9.2,10.6
Barcelona,2007-13,36.8(04/ago),-9.9(17/nov),10.6,,10.6,-9.9,36.8
Barcelona,2008-1,15.0(27),-6.5(01),4.8,,4.8,-6.5,15.0
Barcelona,2008-2,18.8(23),-4.7(11),6.4,,6.4,-4.7,18.8
Barcelona,2008-3,20.6(14),-3.8(07),6.5,,6.5,-3.8,20.6
Barcelona,2008-4,25.2(26),-2.4(14),9.3,,9.3,-2.4,25.2
Barcelona,2008-5,26.2(03),-0.4(01),12.5,,12.5,-0.4,26.2
Barcelona,2008-6,32.1(22),4.3(07),16.1,,16.1,4.3,32.1
Barcelona,2008-7,35.6(19),5.0(13),18.9,,18.9,5.0,35.6
Barcelona,2008-8,35.7(05),5.2(15),19.7,,19.7,5.2,35.7
Barcelona,2008-9,28.0(01),2.9(28),14.9,,14.9,2.9,28.0
Barcelona,2008-10,23.1(14),-2.5(24),10.5,,10.5,-2.5,23.1
Barcelona,2008-11,15.5(10),-3.4(28),5.5,,5.5,-3.4,15.5
Barcelona,2008-12,18.5(22),-6.4(23),4.0,,4.0,-6.4,18.5
Barcelona,2008-13,35.7(05/ago),-6.5(01/ene),10.8,,10.8,-6.5,35.7
Barcelona,2009-1,14.0(30),-10.9(12),2.8,,2.8,-10.9,14.0
Barcelona,2009-2,17.8(27),-4.5(07),4.1,,4.1,-4.5,17.8
Barcelona,2009-3,21.0(13),-3.4(25),6.8,,6.8,-3.4,21.0
Barcelona,2009-4,23.2(23),-1.8(13),8.2,,8.2,-1.8,23.2
Barcelona,2009-5,27.6(20),1.8(15),13.8,,13.8,1.8,27.6
Barcelona,2009-6,34.2(13),6.3(01),17.7,,17.7,6.3,34.2
Barcelona,2009-7,35.0(26),6.3(18),20.1,,20.1,6.3,35.0
Barcelona,2009-8,35.0(23),8.5(30),20.7,,20.7,8.5,35.0
Barcelona,2009-9,30.5(08),6.0(17),16.4,,16.4,6.0,30.5
Barcelona,2009-10,27.2(05),-3.4(19),13.0,,13.0,-3.4,27.2
Barcelona,2009-11,19.4(16),-0.6(30),8.7,,8.7,-0.6,19.4
Barcelona,2009-12,12.8(10),-17.1(20),2.9,,2.9,-17.1,12.8
Barcelona,2009-13,35.0(26/jul),-17.1(20/dic),11.3,,11.3,-17.1,35.0
Barcelona,2010-1,10.7(19),-16.0(10),2.2,,2.2,-16.0,10.7
Barcelona,2010-2,17.0(27),-5.5(12),3.0,,3.0,-5.5,17.0
Barcelona,2010-3,17.6(18),-5.5(08),5.9,,5.9,-5.5,17.6
Barcelona,2010-4,27.0(28),-1.8(05),9.9,,9.9,-1.8,27.0
Barcelona,2010-5,26.2(24),-0.3(07),10.6,,10.6,-0.3,26.2
Barcelona,2010-6,30.3(05),4.0(20),15.3,,15.3,4.0,30.3
Barcelona,2010-7,34.5(07),8.0(24),20.5,,20.5,8.0,34.5
Barcelona,2010-8,34.2(21),7.6(31),19.4,,19.4,7.6,34.2
Barcelona,2010-9,31.7(05),0.2(27),15.6,,15.6,0.2,31.7
Barcelona,2010-10,24.2(02),-4.4(26),10.5,,10.5,-4.4,24.2
Barcelona,2010-11,17.9(03),-6.1(27),5.0,,5.0,-6.1,17.9
Barcelona,2010-12,15.0(11),-10.5(03),2.7,,2.7,-10.5,15.0
Barcelona,2010-13,34.5(07/jul),-16.0(10/ene),10.1,,10.1,-16.0,34.5
Barcelona,2011-1,13.0(06),-6.2(22),3.2,,3.2,-6.2,13.0
Barcelona,2011-2,18.6(25),-4.7(06),4.8,,4.8,-4.7,18.6
Barcelona,2011-3,18.5(31),-4.0(06),6.7,,6.7,-4.0,18.5
Barcelona,2011-4,27.0(08),-0.2(13),11.7,,11.7,-0.2,27.0
Barcelona,2011-5,28.5(25),3.0(15),14.2,,14.2,3.0,28.5
Barcelona,2011-6,35.3(26),3.7(01),16.2,,16.2,3.7,35.3
Barcelona,2011-7,32.0(11),5.8(23),17.3,,17.3,5.8,32.0
Barcelona,2011-8,36.7(20),6.4(27),20.1,,20.1,6.4,36.7
Barcelona,2011-9,32.0(09),2.6(19),17.9,,17.9,2.6,32.0
Barcelona,2011-10,28.6(11),-1.6(21),12.5,,12.5,-1.6,28.6
Barcelona,2011-11,20.0(12),-1.6(27),8.9,,8.9,-1.6,20.0
Barcelona,2011-12,11.0(01),-5.0(27),4.1,,4.1,-5.0,11.0
Barcelona,2011-13,36.7(20/ago),-6.2(22/ene),11.5,,11.5,-6.2,36.7
