ciudad,fecha,n_cub,n_gra,n_fog,inso,n_des,n_nub,evap,n_llu,n_tor,n_nie
Cordoba,2011-10,1.0,0.0,0.0,9.0,19.0,11.0,1817.0,4.0,0.0,0.0
Cordoba,2011-11,7.0,0.0,2.0,5.6,7.0,16.0,582.0,8.0,2.0,0.0
Cordoba,2011-12,6.0,0.0,2.0,6.2,15.0,10.0,458.0,7.0,0.0,0.0
Cordoba,2011-13,52.0,1.0,13.0,8.3,166.0,147.0,21436.0,72.0,19.0,0.0
Cordoba,2012-1,1.0,0.0,7.0,7.3,17.0,13.0,569.0,3.0,0.0,0.0
Cordoba,2012-2,0.0,0.0,0.0,9.7,20.0,9.0,1238.0,2.0,0.0,0.0
Cordoba,2012-3,4.0,0.0,0.0,8.5,10.0,17.0,1554.0,6.0,0.0,0.0
Cordoba,2012-4,12.0,0.0,0.0,7.6,6.0,12.0,1852.0,13.0,2.0,0.0
Cordoba,2012-5,5.0,0.0,0.0,10.0,8.0,18.0,2604.0,8.0,2.0,0.0
Cordoba,2012-6,1.0,0.0,0.0,11.4,17.0,12.0,3790.0,0.0,0.0,0.0
Cordoba,2012-7,0.0,0.0,0.0,12.4,27.0,4.0,4224.0,0.0,1.0,0.0
Cordoba,2012-8,0.0,0.0,0.0,11.1,19.0,12.0,4304.0,0.0,0.0,0.0
Cordoba,2012-9,4.0,0.0,0.0,8.0,13.0,13.0,2410.0,5.0,0.0,0.0
Cordoba,2012-10,7.0,0.0,1.0,6.9,7.0,17.0,1090.0,11.0,1.0,0.0
Cordoba,2012-11,12.0,0.0,1.0,4.4,4.0,14.0,491.0,18.0,2.0,0.0
Cordoba,2012-12,7.0,0.0,5.0,5.0,7.0,17.0,322.0,10.0,0.0,0.0
Cordoba,2012-13,53.0,0.0,14.0,8.5,155.0,158.0,24448.0,76.0,8.0,0.0
Cordoba,2013-1,8.0,0.0,7.0,5.2,4.0,19.0,469.0,12.0,0.0,0.0
Cordoba,2013-2,5.0,0.0,0.0,7.3,11.0,12.0,681.0,9.0,0.0,1.0
Cordoba,2013-3,19.0,0.0,0.0,4.3,2.0,10.0,742.0,22.0,2.0,0.0
Cordoba,2013-4,6.0,0.0,0.0,8.2,5.0,19.0,1313.0,10.0,2.0,0.0
Cordoba,2013-5,2.0,0.0,0.0,9.9,7.0,22.0,2047.0,9.0,2.0,0.0
Cordoba,2013-6,3.0,0.0,0.0,11.4,20.0,7.0,2738.0,2.0,0.0,0.0
Cordoba,2013-7,0.0,0.0,0.0,12.1,21.0,10.0,3372.0,2.0,0.0,0.0
Cordoba,2013-8,1.0,0.0,0.0,11.3,22.0,8.0,3522.0,2.0,1.0,0.0
Cordoba,2013-9,4.0,0.0,0.0,8.4,11.0,15.0,1988.0,4.0,0.0,0.0
Cordoba,2013-10,5.0,0.0,1.0,7.1,9.0,17.0,1227.0,8.0,1.0,0.0
Cordoba,2013-11,3.0,0.0,1.0,7.2,11.0,16.0,886.0,3.0,0.0,0.0
Cordoba,2013-12,8.0,0.0,0.0,6.6,17.0,6.0,587.0,8.0,0.0,0.0
Cordoba,2013-13,64.0,0.0,9.0,8.3,140.0,161.0,19572.0,91.0,8.0,1.0
Cordoba,2014-1,14.0,0.0,1.0,4.3,4.0,13.0,550.0,17.0,0.0,0.0
Cordoba,2014-2,17.0,0.0,5.0,4.3,1.0,10.0,659.0,20.0,0.0,0.0
Cordoba,2014-3,6.0,0.0,0.0,7.6,9.0,16.0,1250.0,7.0,0.0,0.0
Cordoba,2014-4,7.0,0.0,0.0,8.3,7.0,16.0,1416.0,8.0,0.0,0.0
Cordoba,2014-5,1.0,0.0,0.0,11.7,12.0,18.0,2529.0,5.0,0.0,0.0
Cordoba,2014-6,0.0,0.0,0.0,10.4,10.0,20.0,2814.0,4.0,2.0,0.0
Cordoba,2014-7,1.0,0.0,1.0,11.7,20.0,10.0,3813.0,1.0,1.0,0.0
Cordoba,2014-8,0.0,0.0,0.0,11.7,23.0,8.0,3648.0,0.0,0.0,0.0
Cordoba,2014-9,6.0,0.0,0.0,7.4,6.0,18.0,2098.0,11.0,2.0,0.0
Cordoba,2014-10,1.0,0.0,1.0,7.6,8.0,22.0,1460.0,6.0,0.0,0.0
Cordoba,2014-11,9.0,1.0,1.0,4.9,3.0,18.0,596.0,14.0,1.0,0.0
Cordoba,2014-12,4.0,0.0,7.0,6.2,10.0,17.0,436.0,6.0,0.0,0.0
Cordoba,2014-13,66.0,1.0,16.0,8.0,113.0,186.0,21269.0,99.0,6.0,0.0
Cordoba,2015-1,4.0,0.0,3.0,7.0,15.0,12.0,629.0,7.0,0.0,0.0
Cordoba,2015-2,4.0,0.0,3.0,6.6,9.0,15.0,1020.0,8.0,0.0,0.0
Cordoba,2015-3,7.0,0.0,3.0,7.9,10.0,14.0,1287.0,8.0,2.0,0.0
Cordoba,2015-4,8.0,0.0,1.0,7.7,2.0,20.0,1524.0,10.0,1.0,0.0
Cordoba,2015-5,2.0,0.0,0.0,10.9,10.0,19.0,2943.0,1.0,0.0,0.0
Cordoba,2015-6,1.0,0.0,0.0,11.6,16.0,13.0,3400.0,3.0,0.0,0.0
Cordoba,2015-7,0.0,0.0,0.0,12.5,28.0,3.0,4880.0,0.0,0.0,0.0
Cordoba,2015-8,3.0,0.0,0.0,9.7,13.0,15.0,3440.0,3.0,0.0,0.0
Cordoba,2015-9,2.0,0.0,0.0,7.9,8.0,20.0,2541.0,4.0,0.0,0.0
Cordoba,2015-10,12.0,0.0,0.0,5.9,6.0,13.0,1169.0,13.0,1.0,0.0
Cordoba,2015-11,1.0,0.0,0.0,8.3,21.0,8.0,799.0,3.0,0.0,0.0
Cordoba,2015-12,3.0,0.0,0.0,5.7,7.0,21.0,661.0,4.0,0.0,0.0
Cordoba,2015-13,47.0,0.0,10.0,8.5,145.0,173.0,24293.0,64.0,4.0,0.0
Cordoba,2016-1,15.0,0.0,5.0,4.0,1.0,15.0,458.0,18.0,0.0,0.0
Cordoba,2016-2,10.0,0.0,2.0,4.8,5.0,14.0,975.0,12.0,0.0,0.0
Cordoba,2016-3,4.0,1.0,2.0,8.4,9.0,18.0,1205.0,9.0,1.0,0.0
Cordoba,2016-4,13.0,1.0,1.0,8.2,5.0,12.0,1482.0,10.0,1.0,0.0
Cordoba,2016-5,10.0,0.0,3.0,8.7,7.0,14.0,1939.0,10.0,3.0,0.0
Cordoba,2016-6,,0.0,0.0,12.9,,,3558.0,0.0,0.0,0.0
Cordoba,2016-7,,0.0,0.0,12.4,,,4285.0,0.0,0.0,0.0
Cordoba,2016-8,,0.0,0.0,12.6,,,3831.0,0.0,0.0,0.0
Cordoba,2016-9,,0.0,0.0,9.4,,,3155.0,1.0,0.0,0.0
Cordoba,2016-10,,0.0,0.0,7.2,,,1519.0,7.0,0.0,0.0
Cordoba,2016-11,,0.0,2.0,5.9,,,691.0,10.0,0.0,0.0
Cordoba,2016-12,,0.0,2.0,6.1,,,471.0,8.0,0.0,0.0
Cordoba,2016-13,,2.0,17.0,8.4,,,23569.0,85.0,5.0,0.0
Cordoba,2017-1,,0.0,1.0,7.2,,,656.0,2.0,0.0,0.0
Cordoba,2017-2,,0.0,1.0,4.2,,,715.0,11.0,0.0,0.0
Cordoba,2017-3,,0.0,3.0,6.9,,,1323.0,10.0,0.0,0.0
Cordoba,2017-4,,0.0,0.0,8.2,,,1902.0,5.0,0.0,0.0
Cordoba,2017-5,,0.0,0.0,9.5,,,2428.0,5.0,0.0,0.0
Cordoba,2017-6,,0.0,0.0,12.1,,,4110.0,1.0,1.0,0.0
Cordoba,2017-7,,0.0,0.0,11.6,,,4472.0,3.0,0.0,0.0
Cordoba,2017-8,,0.0,0.0,10.9,,,3772.0,3.0,1.0,0.0
Cordoba,2017-9,1.0,0.0,0.0,9.2,17.0,12.0,3051.0,0.0,0.0,0.0
Cordoba,2017-10,1.0,0.0,0.0,8.6,19.0,9.0,1992.0,2.0,1.0,0.0
Cordoba,2017-11,,0.0,1.0,7.5,,,1002.0,4.0,0.0,0.0
Cordoba,2017-12,,0.0,2.0,5.8,,,727.0,8.0,0.0,0.0
Cordoba,2017-13,,0.0,8.0,8.5,,,26150.0,54.0,3.0,0.0
Cordoba,2018-1,,0.0,7.0,5.1,,,603.0,10.0,0.0,0.0
Cordoba,2018-2,,0.0,1.0,7.1,,,875.0,7.0,0.0,0.0
Cordoba,2018-3,,0.0,3.0,5.8,,,1015.0,23.0,3.0,0.0
Cordoba,2018-4,6.0,,,9.2,4.0,20.0,1541.0,,,
Cordoba,2018-5,5.0,0.0,5.0,9.2,5.0,21.0,2081.0,13.0,3.0,0.0
Cordoba,2018-6,4.0,0.0,0.0,10.2,10.0,16.0,3075.0,2.0,0.0,0.0
Cordoba,2018-7,0.0,0.0,0.0,12.3,27.0,4.0,3865.0,0.0,0.0,0.0
Cordoba,2018-8,0.0,0.0,0.0,11.6,24.0,7.0,4220.0,0.0,1.0,0.0
Cordoba,2018-9,3.0,0.0,0.0,9.2,12.0,15.0,2362.0,6.0,4.0,0.0
Cordoba,2018-10,,1.0,2.0,,,,1502.0,15.0,2.0,0.0
Cordoba,2018-11,,0.0,1.0,5.7,,,548.0,15.0,0.0,0.0
Cordoba,2018-12,,0.0,1.0,8.0,,,591.0,5.0,0.0,0.0
Cordoba,2018-13,,,,,,,22278.0,,,
Cordoba,2019-1,,0.0,1.0,7.7,,,823.0,3.0,0.0,0.0
Cordoba,2019-2,,0.0,0.0,9.3,,,937.0,3.0,1.0,0.0
Cordoba,2019-3,,0.0,0.0,,,,1761.0,5.0,1.0,0.0
Cordoba,2019-4,8.0,0.0,1.0,10.5,4.0,18.0,1603.0,15.0,3.0,0.0
Cordoba,2019-5,1.0,0.0,0.0,12.6,12.0,18.0,3451.0,0.0,0.0,0.0
Cordoba,2019-6,0.0,0.0,0.0,13.3,16.0,14.0,3680.0,0.0,0.0,0.0
Cordoba,2019-7,0.0,0.0,0.0,13.0,17.0,14.0,4163.0,1.0,0.0,0.0
Cordoba,2019-8,2.0,1.0,0.0,,23.0,6.0,3886.0,0.0,1.0,0.0
Cordoba,2019-9,3.0,0.0,1.0,10.5,9.0,18.0,2544.0,6.0,1.0,0.0
Cordoba,2019-10,4.0,0.0,0.0,9.6,10.0,17.0,1732.0,5.0,0.0,0.0
Cordoba,2019-11,10.0,0.0,3.0,6.3,5.0,13.0,929.0,18.0,0.0,0.0
Cordoba,2019-12,8.0,0.0,2.0,6.6,8.0,15.0,541.0,9.0,0.0,0.0
Cordoba,2019-13,,1.0,8.0,,,,26050.0,65.0,7.0,0.0
Cordoba,2020-1,9.0,0.0,2.0,6.5,10.0,12.0,433.0,7.0,0.0,0.0
Cordoba,2020-2,3.0,0.0,1.0,9.2,11.0,15.0,840.0,2.0,0.0,0.0
Cordoba,2020-3,4.0,0.0,2.0,,2.0,24.0,1312.0,12.0,0.0,0.0
Cordoba,2020-4,,0.0,0.0,9.3,,,,18.0,0.0,0.0
Cordoba,2020-5,,,,10.2,,,,,,
Cordoba,2020-6,0.0,0.0,0.0,12.5,14.0,16.0,3732.0,0.0,0.0,0.0
Cordoba,2020-7,0.0,0.0,0.0,12.8,26.0,5.0,4546.0,1.0,1.0,0.0
Cordoba,2020-8,0.0,1.0,0.0,11.6,22.0,9.0,3334.0,4.0,1.0,0.0
Cordoba,2020-9,4.0,0.0,0.0,9.1,8.0,18.0,2271.0,3.0,1.0,0.0
Cordoba,2020-10,,0.0,1.0,8.6,,,,6.0,0.0,0.0
Cordoba,2020-11,,0.0,3.0,5.9,,,,12.0,3.0,0.0
Cordoba,2020-12,,0.0,5.0,5.0,,,,13.0,0.0,0.0
Cordoba,2020-13,,,,,,,,,,
